wafer_layout,component_sk,ucs_die_x,ucs_die_y,ucs_flash_x,ucs_flash_y,ucs_die_in_flash_x,ucs_die_in_flash_y,ucs_die_origin_x,ucs_die_origin_y,ucs_flash_wafer_layout_sk,ucs_die_wafer_layout_sk,metrology17_site,sort_die_x,sort_die_y,sort_test_flag,wet_flash_x,wet_flash_y
product,90001838,-17,0,-6,0,1,0,-130992.76,-19558.65,90172469,96393758,11,2,24,T,2,5
product,90001838,-17,1,-6,0,1,1,-130992.76,-12999.19,90172469,96393759,11,2,23,T,2,5
product,90001838,-17,2,-6,0,1,2,-130992.76,-6439.73,90172469,96393760,11,2,22,T,2,5
product,90001838,-17,3,-6,0,1,3,-130992.76,119.73,90172469,96393761,11,2,21,T,2,5
product,90001838,-17,4,-6,0,1,4,-130992.76,6679.19,90172469,96393762,11,2,20,T,2,5
product,90001838,-17,5,-6,1,1,0,-130992.76,13238.65,90172470,96393773,,2,19,T,2,6
product,90001838,-17,6,-6,1,1,1,-130992.76,19798.11,90172470,96393774,,2,18,T,2,6
product,90001838,-17,7,-6,1,1,2,-130992.76,26357.57,90172470,96393775,,2,17,T,2,6
product,90001838,-17,8,-6,1,1,3,-130992.76,32917.03,90172470,96393776,,2,16,T,2,6
product,90001838,-17,9,-6,1,1,4,-130992.76,39476.49,90172470,96393777,,2,15,T,2,6
product,90001838,-17,10,-6,2,1,0,-130992.76,46035.95,90172471,96393788,,2,14,T,2,7
product,90001838,-17,11,-6,2,1,1,-130992.76,52595.41,90172471,96393789,,2,13,T,2,7
product,90001838,-17,12,-6,2,1,2,-130992.76,59154.87,90172471,96393790,,2,12,T,2,7
product,90001838,-17,13,-6,2,1,3,-130992.76,65714.33,90172471,96393791,,2,11,P,2,7
product,90001838,-17,14,-6,2,1,4,-130992.76,72273.79,90172471,96393792,,2,10,P,2,7
product,90001838,-17,15,-6,3,1,0,-130992.76,78833.25,90172472,96393803,,2,9,P,2,8
product,90001838,-17,16,-6,3,1,1,-130992.76,85392.71,90172472,96393804,,2,8,P,2,8
product,90001838,-17,17,-6,3,1,2,-130992.76,91952.17,90172472,96393805,,2,7,P,2,8
product,90001838,-17,18,-6,3,1,3,-130992.76,98511.63,90172472,96393806,,2,6,P,2,8
product,90001838,-17,19,-6,3,1,4,-130992.76,105071.09,90172472,96393807,,2,5,P,2,8
product,90001838,-16,-15,-6,-3,2,0,-123721.8,-117950.55,90172466,96393718,,3,39,P,2,2
product,90001838,-16,-14,-6,-3,2,1,-123721.8,-111391.09,90172466,96393719,,3,38,P,2,2
product,90001838,-16,-13,-6,-3,2,2,-123721.8,-104831.63,90172466,96393720,,3,37,P,2,2
product,90001838,-16,-12,-6,-3,2,3,-123721.8,-98272.17,90172466,96393721,,3,36,P,2,2
product,90001838,-16,-11,-6,-3,2,4,-123721.8,-91712.71,90172466,96393722,,3,35,P,2,2
product,90001838,-16,-10,-6,-2,2,0,-123721.8,-85153.25,90172467,96393733,,3,34,P,2,3
product,90001838,-16,-9,-6,-2,2,1,-123721.8,-78593.79,90172467,96393734,,3,33,T,2,3
product,90001838,-16,-8,-6,-2,2,2,-123721.8,-72034.33,90172467,96393735,,3,32,T,2,3
product,90001838,-16,-7,-6,-2,2,3,-123721.8,-65474.87,90172467,96393736,,3,31,T,2,3
product,90001838,-16,-6,-6,-2,2,4,-123721.8,-58915.41,90172467,96393737,,3,30,T,2,3
